Sl_Number,Country,Agriculture,Technology,Fuel,Total
1,Afghanistan,29543,2143164,11381248,13553955
2,Albania,57322,7796934,2108924,9963180
3,Algeria,99243,3922174,6734738,10756155
4,American Samoa,42040,5857321,10364413,16263774
5,Andorra,39143,1634089,12222610,13895842
6,Angola,31695,2639570,11969381,14640646
7,Anguilla,26275,958151,3562300,4546726
8,Antigua and Barbuda,57336,1146710,13438437,14642483
9,Argentina,18692,7763543,9175132,16957367
10,Armenia,73999,3042890,6483240,9600129
11,Aruba,97871,2872302,2807865,5778038
12,Australia,53457,1336487,5665310,7055254
13,Austria,20903,5798173,2773864,8592940
14,Azerbaijan,31039,1481145,9016261,10528445
15,Bahamas,37211,4172836,11459062,15669109
16,Bahrain,56973,287728,6116709,6461410
17,Bangladesh,18640,6049222,13831662,19899524
18,Barbados,63333,6412300,8887127,15362760
19,Belarus,86883,7703708,5636618,13427209
20,Belgium,19085,2696106,7824735,10539926
21,Belize,28442,4395933,3429332,7853707
22,Benin,43777,6817391,3744319,10605487
23,Bermuda,71183,394535,10823270,11288988
24,Bhutan,89663,3905769,3922825,7918257
25,Bolivia,35517,5847289,11295260,17178066
26,Bosnia and Herzegovina,73645,6345359,10912402,17331406
27,Botswana,85667,6073861,11406624,17566152
28,Brazil,70586,6478716,3349295,9898597
29,British Virgin Islands,37569,7944993,4735659,12718221
30,Brunei,71062,6835423,10612103,17518588
31,Bulgaria,55914,5528725,2534196,8118835
32,Burkina Faso,30210,5952364,11570432,17553006
33,Burundi,40960,7678546,2836093,10555599
34,Cambodia,32503,7385307,14108612,21526422
35,Cameroon,75224,2948788,8100049,11124061
36,Canada,46738,2898264,5250083,8195085
37,Cape Verde,30911,3445412,11004342,14480665
38,Cayman Islands,87849,6196477,14304602,20588928
39,Central African Republic,76430,6417458,2677352,9171240
40,Chad,65914,6906031,9472151,16444096
41,Chile,71397,1433822,2092672,3597891
42,China,79435,6233169,12221209,18533813
43,Colombia,52547,713986,4449421,5215954
44,Comoros,48636,2991016,2895259,5934911
45,Cook Islands,24537,196120,3372576,3593233
46,Costa Rica,58779,5980054,3318473,9357306
47,Country,43841,5625234,8654606,14323681
48,Croatia,50182,2196428,5364756,7611366
49,Cuba,80090,3404417,9636444,13120951
50,Curacao,98430,2635437,4029901,6763768
51,Cyprus,25819,4422644,14798684,19247147
52,Czech Republic,58651,3843203,10174398,14076252
53,Denmark,17697,3659867,5659311,9336875
54,Djibouti,51070,4365363,4034125,8450558
55,Dominica,61820,6304844,12624753,18991417
56,Dominican Republic,16987,1240325,12540052,13797364
57,DR Congo,88698,1931358,2426878,4446934
58,Ecuador,65822,6845785,12643305,19554912
59,Egypt,19229,5687516,8516506,14223251
60,El Salvador,60283,582714,12312382,12955379
61,Equatorial Guinea,43439,5198976,3428958,8671373
62,Eritrea,39559,6959248,7297304,14296111
63,Estonia,30426,1918132,8306144,10254702
64,Eswatini,98046,870621,13438100,14406767
65,Ethiopia,76502,7208455,2746205,10031162
66,Falkland Islands,28858,5279645,9559331,14867834
67,Faroe Islands,72215,875639,14550480,15498334
68,Fiji,82181,4375479,2174391,6632051
69,Finland,87427,4548011,7972597,12608035
70,France,98340,2346108,9167971,11612419
71,French Guiana,12614,2068268,11676899,13757781
72,French Polynesia,99751,3567484,11362416,15029651
73,Gabon,89078,6942227,4292342,11323647
74,Gambia,72139,350939,7531155,7954233
75,Georgia,95996,4920629,14959881,19976506
76,Germany,40754,508436,13435486,13984676
77,Ghana,90889,1466794,10669844,12227527
78,Gibraltar,17970,3820137,7098537,10936644
79,Greece,35177,741495,11967417,12744089
80,Greenland,22675,509414,8924307,9456396
81,Grenada,11251,4796800,10267231,15075282
82,Guadeloupe,87412,5327648,8590591,14005651
83,Guam,18810,3891296,10673727,14583833
84,Guatemala,98610,4227310,4019781,8345701
85,Guinea,91739,568037,12940678,13600454
86,Guinea-Bissau,84067,1065409,13134731,14284207
87,Guyana,57742,3222476,8254161,11534379
88,Haiti,80339,4892866,7683380,12656585
89,Honduras,15230,2063041,12941909,15020180
90,Hong Kong,30504,6815074,14368479,21214057
91,Hungary,98424,1762902,9499707,11361033
92,Iceland,68905,1390867,7235284,8695056
93,India,26544,4052548,11561488,15640580
94,Indonesia,13934,2518411,6611845,9144190
95,Iran,51454,5589925,2006442,7647821
96,Iraq,98220,2636075,11491721,14226016
97,Ireland,19287,948191,9371165,10338643
98,Isle of Man,99648,3200711,2061657,5362016
99,Israel,54226,6896049,2826575,9776850
100,Italy,96741,674044,10778758,11549543
101,Ivory Coast,11671,2163062,12857480,15032213
102,Jamaica,61945,1662302,6018077,7742324
103,Japan,25100,1692114,6456075,8173289
104,Jordan,64590,4425508,9967265,14457363
105,Kazakhstan,61742,6841997,6565817,13469556
106,Kenya,48246,635164,5112310,5795720
107,Kiribati,33391,5071887,10171731,15277009
108,Kuwait,21678,6225779,6002642,12250099
109,Kyrgyzstan,76216,5728692,14793360,20598268
110,Laos,81182,1839738,13984191,15905111
111,Latvia,47806,3305177,8765403,12118386
112,Lebanon,76223,5307212,10940225,16323660
113,Lesotho,57023,2982587,9754237,12793847
114,Liberia,51444,1489977,12097601,13639022
115,Libya,61740,714279,2369019,3145038
116,Liechtenstein,31762,4682940,10172906,14887608
